ascii                                     country  admin1  lat       long
Abbotsford                                CA       02      49.05798  -122.25257
Acton Vale                                CA       10      45.65007  -72.56582
Airdrie                                   CA       01      51.30011  -114.03528
Ajax                                      CA       08      43.85012  -79.03288
Alma                                      CA       10      48.55009  -71.6491
Amherst                                   CA       07      45.83345  -64.19874
Amherstburg                               CA       08      42.11679  -83.04985
Amos                                      CA       10      48.56688  -78.11624
Angus                                     CA       08      44.31681  -79.88295
Anmore                                    CA       02      49.31637  -122.85263
Antigonish                                CA       07      45.61685  -61.99858
Arnprior                                  CA       08      45.43341  -76.34939
Asbestos                                  CA       10      45.76678  -71.9324
Aylmer                                    CA       08      42.76679  -80.98302
Baie-Comeau                               CA       10      49.21679  -68.14894
Banff                                     CA       01      51.17622  -115.56982
Barrie                                    CA       08      44.40011  -79.66634
Bay Roberts                               CA       05      47.59989  -53.26478
Beaconsfield                              CA       10      45.43341  -73.86586
Beauharnois                               CA       10      45.31341  -73.8725
Beaumont                                  CA       01      53.35013  -113.41871
Becancour                                 CA       10      46.33336  -72.43241
Belleville                                CA       08      44.16682  -77.38277
Bells Corners                             CA       08      45.31588  -75.83012
Beloeil                                   CA       10      45.56678  -73.19915
Blainville                                CA       10      45.66678  -73.88249
Bluewater                                 CA       08      43.46679  -81.59977
Boisbriand                                CA       10      45.61678  -73.83249
Bois-des-Filion                           CA       10      45.66678  -73.74918
Bonnyville                                CA       01      54.26684  -110.73505
Boucherville                              CA       10      45.59104  -73.43605
Bracebridge                               CA       08      45.03341  -79.31633
Bradford West Gwillimbury                 CA       08      44.11681  -79.61633
Brampton                                  CA       08      43.68341  -79.76633
Brandon                                   CA       03      49.84692  -99.95306
Brant                                     CA       08      43.1334   -80.34967
Brantford                                 CA       08      43.1334   -80.26636
Bridgewater                               CA       07      44.38345  -64.51546
Brockville                                CA       08      44.59132  -75.68705
Bromont                                   CA       10      45.31678  -72.64912
Brooks                                    CA       01      50.58341  -111.88509
Brossard                                  CA       10      45.45008  -73.46583
Brownsburg-Chatham                        CA       10      45.68342  -74.4159
Burlington                                CA       08      43.38621  -79.83713
Burnaby                                   CA       02      49.26636  -122.95263
Calgary                                   CA       01      51.05011  -114.08529
Cambridge                                 CA       08      43.3601   -80.31269
Camlachie                                 CA       08      43.03596  -82.1616
Campbell River                            CA       02      50.01634  -125.24459
Camrose                                   CA       01      53.01684  -112.83525
Candiac                                   CA       10      45.38338  -73.51587
Canmore                                   CA       01      51.08335  -115.35206
Carbonear                                 CA       05      47.73319  -53.21478
Carignan                                  CA       10      45.45008  -73.29916
Carleton Place                            CA       08      45.13341  -76.14938
Castlegar                                 CA       02      49.29984  -117.66894
Chambly                                   CA       10      45.45008  -73.28246
Charlemagne                               CA       10      45.71678  -73.48247
Charlottetown                             CA       09      46.23525  -63.12671
Chateauguay                               CA       10      45.38338  -73.74919
Chibougamau                               CA       10      49.91684  -74.36586
Chilliwack                                CA       02      49.16638  -121.95257
Clarence-Rockland                         CA       08      45.5501   -75.29101
Coaldale                                  CA       01      49.7167   -112.61854
Coaticook                                 CA       10      45.13339  -71.79907
Cobourg                                   CA       08      43.95977  -78.16515
Cochrane                                  CA       01      51.18341  -114.46871
Cold Lake                                 CA       01      54.46525  -110.18154
Collingwood                               CA       08      44.4834   -80.21638
Colwood                                   CA       02      48.43293  -123.48591
